,index,text,category,explanation
102,102,I'm still looking for a car to buy. And have not gone 4the driving test yet.,ham,Personal update about car search.
103,103,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,spam,Spam about setting a callertune.
104,104,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",ham,Personal reflection on dating.
105,105,Umma my life and vava umma love you lot dear,ham,Affectionate message to family.
106,106,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,ham,Gratitude for birthday wishes.
107,107,"Aight, I'll hit you up when I get some cash",ham,Casual message about future contact.
108,108,How would my ip address test that considering my computer isn't a minecraft server,ham,Technical inquiry about IP address.
109,109,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,ham,Light-hearted conversation about family.
110,110,Dont worry. I guess he's busy.,ham,Reassurance about someone's availability.
111,111,What is the plural of the noun research?,ham,Academic inquiry about grammar.
112,112,Going for dinner.msg you after.,ham,Informal message about dinner plans.
113,113,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,ham,Discussion about preferences.
114,114,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,spam,Spam message about winning a prize.
115,115,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",ham,Casual conversation about life.
116,116,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",ham,Personal story about a birthday.
117,117,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),spam,Spam message about winning a prize.
118,118,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,ham,Casual planning about food.
119,119,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,ham,Discussion about financial arrangements.
120,120,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam,Promotes a financial offer with urgency.
121,121,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",spam,Claims a prize with urgency and a call to action.
122,122,here is my new address -apples&pairs&all that malarky,ham,Casual personal communication.
123,123,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,spam,Offers a monetary reward with a call to action.
124,124,I am going to sao mu today. Will be done only at 12,ham,Informal personal update.
125,125,Ü predict wat time ü'll finish buying?,ham,Casual inquiry about plans.
126,126,"Good stuff, will do.",ham,Positive acknowledgment of a previous message.
127,127,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",ham,Personal message discussing a financial situation.
128,128,Are you there in room.,ham,Simple inquiry about someone's presence.
129,129,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,ham,Friendly greeting and invitation to reconnect.
130,130,K..k:)how much does it cost?,ham,Casual question about pricing.
131,131,I'm home.,ham,Simple personal update.
132,132,"Dear, will call Tmorrow.pls accomodate.",ham,Polite message about future communication.
133,133,First answer my question.,ham,Direct request for information.
134,134,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,spam,Promotes a quiz with a prize and a cost.
135,135,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,spam,Explicit content promotion with a call to action.
136,136,I only haf msn. It's yijue@hotmail.com,ham,Sharing contact information.
137,137,He is there. You call and meet him,ham,Informative message about someone's location.
138,138,No no. I will check all rooms befor activities,ham,Planning and organizing activities.
139,139,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,spam,Promotes adult services with a call to action.
140,140,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,ham,Casual conversation about daily life.
141,141,"K, text me when you're on the way",ham,Request for communication upon arrival.
142,142,"Sir, Waiting for your mail.",ham,Polite follow-up on expected communication.
143,143,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",ham,Inspirational message sharing a thought.
144,144,I know you are. Can you pls open the back?,ham,Request for assistance.
145,145,Yes see ya not on the dot,ham,Casual confirmation of plans.
146,146,Whats the staff name who is taking class for us?,ham,Inquiry about class details.
147,147,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",spam,Solicits response with a personal and sexual tone.
148,148,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ham,Personal message about future plans.
149,149,K..i deleted my contact that why?,ham,Casual explanation about contact deletion.
150,150,Sindu got job in birla soft ..,ham,Informal message about a job.
151,151,The wine is flowing and i'm i have nevering..,ham,Casual conversation about wine.
152,152,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,ham,Opinion on cinema preference.
153,153,Ok... Ur typical reply...,ham,Casual response to a message.
154,154,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham,Notification about a callertune setting.
155,155,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",ham,Poetic expression about dirt.
156,156,Aaooooright are you at work?,ham,Casual inquiry about work.
157,157,I'm leaving my house now...,ham,Simple message about leaving home.
158,158,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",ham,Affectionate message checking in.
159,159,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,spam,Promotional message about delivery.
160,160,You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,spam,Classic spam about winning a prize.
161,161,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,ham,Personal message expressing care.
162,162,New car and house for my parents.:)i have only new job in hand:),ham,Sharing personal achievements.
163,163,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,ham,Romantic message expressing love.
164,164,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,spam,Friend request spam message.
165,165,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",spam,Spam about an order delivery.
166,166,I place all ur points on e cultures module already.,ham,Informal message about school work.
167,167,URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,spam,Urgent spam about winning a prize.
168,168,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",ham,Seeking advice on relationships.
169,169,Great escape. I fancy the bridge but needs her lager. See you tomo,ham,Casual message about plans.
170,170,Yes :)it completely in out of form:)clark also utter waste.,ham,Casual opinion about something.
171,171,"Sir, I need AXIS BANK account no and bank address.",spam,Request for sensitive information.
172,172,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",ham,Casual planning message.
173,173,What time you coming down later?,ham,Inquiry about meeting time.
174,174,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...",ham,Casual reminder about a name.
175,175,"Well, i'm gonna finish my bath now. Have a good...fine night.",ham,Casual message about personal routine.
176,176,Let me know when you've got the money so carlos can make the call,ham,Message about financial arrangements.
177,177,U still going to the mall?,ham,Casual inquiry about plans.
178,178,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",ham,Casual message about plans.
179,179,Text her. If she doesnt reply let me know so i can have her log in,ham,Instruction to follow up with someone.
180,180,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,ham,Customer feedback request.
181,181,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,ham,Personal message expressing gratitude.
182,182,Lol no. U can trust me.,ham,Casual conversation.
183,183,ok. I am a gentleman and will treat you with dignity and respect.,ham,Polite personal assurance.
184,184,"He will, you guys close?",ham,Inquiry about relationships.
185,185,Going on nothing great.bye,ham,Casual farewell.
186,186,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,ham,Friendly check-in.
187,187,"Haha awesome, be there in a minute",ham,Casual confirmation.
188,188,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam,Promotional spam message.
189,189,Have you got Xmas radio times. If not i will get it now,ham,Casual inquiry about plans.
190,190,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,ham,Personal update.
191,191,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,spam,Promotional spam message.
192,192,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,ham,Apology and appreciation message.
193,193,Hi :)finally i completed the course:),ham,Personal achievement update.
194,194,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,ham,Advice on a personal matter.
195,195,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,ham,Friendly greeting.
196,196,Gud mrng dear hav a nice day,ham,Friendly morning wish.
197,197,Did u got that persons story,ham,Inquiry about information.
198,198,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,ham,Casual meeting arrangement.
199,199,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,ham,Friendly check-in.
200,200,"Found it, ENC  &lt;#&gt; , where you at?",ham,Casual inquiry.
201,201,I sent you  &lt;#&gt;  bucks,ham,Informal financial update.
202,202,Hello darlin ive finished college now so txt me when u finish if you can love Kate xxx,ham,Personal update and invitation.
203,203,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,spam,Automated account notification.
204,204,Goodmorning sleeping ga.,ham,Friendly morning greeting.
205,205,U call me alter at 11 ok.,ham,Casual arrangement.
206,206,Ü say until like dat i dun buy ericsson oso cannot oredi lar...,ham,Casual conversation.
207,207,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",ham,Personal story.
208,208,"Aight yo, dats straight dogg",ham,Casual slang conversation.
209,209,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,spam,Urgent service request.
210,210,Both :) i shoot big loads so get ready!,spam,Inappropriate content suggesting sexual themes.
211,211,"What's up bruv, hope you had a great break. Do have a rewarding semester.",ham,Casual greeting and well-wishing.
212,212,Home so we can always chat,ham,Friendly message indicating availability to chat.
213,213,K:)k:)good:)study well.,ham,Encouraging message for studying.
214,214,Yup... How ü noe leh...,ham,Casual conversation with a friend.
215,215,Sounds great! Are you home now?,ham,Friendly inquiry about someone's location.
216,216,Finally the match heading towards draw as your prediction.,ham,Commentary on a sports match.
217,217,Tired. I haven't slept well the past few nights.,ham,Personal update about feeling tired.
218,218,Easy ah?sen got selected means its good..,ham,Comment on someone's success.
219,219,I have to take exam with march 3,ham,Informative message about an upcoming exam.
220,220,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,ham,Helpful advice regarding registration.
221,221,Ok no prob. Take ur time.,ham,Reassuring response to someone.
222,222,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,ham,Technical advice on using an operating system.
223,223,"Sorry, I'll call later",ham,Apology for not being available.
224,224,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,ham,Casual conversation about a night out.
225,225,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",spam,Promotional message for mobile phones.
226,226,Would really appreciate if you call me. Just need someone to talk to.,ham,Request for a supportive conversation.
227,227,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",spam,Spam message promoting horoscope services.
228,228,Hey company elama po mudyadhu.,ham,Casual message in a local dialect.
229,229,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",ham,Philosophical message about life.
230,230,Dear good morning now only i am up,ham,Casual morning greeting.
231,231,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,ham,Directions provided to someone.
232,232,Dear we are going to our rubber place,ham,Informative message about a trip.
233,233,"Sorry battery died, yeah I'm here",ham,Apology for being unavailable.
234,234,Yes:)here tv is always available in work place..,ham,Casual comment about workplace amenities.
235,235,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence,spam,Spam message promoting dating services.
236,236,I have printed it oh. So  &lt;#&gt;  come upstairs,ham,Casual invitation to come upstairs.
237,237,Or ill be a little closer like at the bus stop on the same street,ham,Informal message about meeting location.
238,238,Where are you?when wil you reach here?,ham,Inquiry about someone's arrival.
239,239,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",ham,Philosophical message about arguments.
240,240,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,spam,Promotional message with a call to action.
241,241,Tomarrow final hearing on my laptop case so i cant.,ham,Personal message about a legal matter.
242,242,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx,ham,Casual inquiry about sports.
243,243,"Okay. No no, just shining on. That was meant to be signing, but that sounds better.",ham,Casual conversation with a typo.
244,244,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...",ham,Personal message expressing gratitude.
245,245,U don't remember that old commercial?,ham,Casual reference to a commercial.
246,246,Too late. I said i have the website. I didn't i have or dont have the slippers,ham,Clarification about a website.
247,247,I asked you to call him now ok,ham,Direct request for a phone call.
248,248,Kallis wont bat in 2nd innings.,ham,Sports update about a player.
249,249,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time you wake up. You are very dearly missed have a good night sleep.,ham,Personal message wishing goodnight.
250,250,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,spam,Promotional message with a prize offer.
251,251,Ranjith cal drpd Deeraj and deepak 5min hold,ham,Informal message about a phone call.
252,252,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.",ham,Advice on handling emotions.
253,253,What you doing?how are you?,ham,Casual greeting and inquiry.
254,254,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",ham,Discussion about shipping options.
255,255,"I'm back, lemme know when you're ready",ham,Casual message about readiness.
256,256,Don't necessarily expect it to be done before you get back though because I'm just now headin out,ham,Update on task completion.
257,257,Mmm so yummy babe ... Nice jolt to the suzy,ham,Casual compliment or expression.
258,258,Where are you lover ? I need you ...,ham,Personal message expressing need.
259,259,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,spam,Promotional message with an offer.
260,260,I‘m parked next to a MINI!!!! When are you coming in today do you think?,ham,Casual message about meeting.
261,261,Yup,ham,Simple affirmative response.
