text,category,explanation,rating,rating_reason,suggested_instruction
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",spam,Promotional message for cash prize.,4,Correct category based on clear explanation.,Identify cash prize promotions.
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",spam,Urgent spam message about winning a prize.,4,Correct category based on clear explanation.,Flag urgent prize claims.
I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,ham,Grateful message expressing appreciation.,4,Correct category based on clear explanation.,Encourage expressions of gratitude.
I HAVE A DATE ON SUNDAY WITH WILL!!,ham,Excited personal message about a date.,4,Correct category based on clear explanation.,Acknowledge excitement in personal messages.
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",spam,Spam message promoting a mobile service.,4,Correct category based on clear explanation.,Identify mobile service promotions.
Oh k...i'm watching here:),ham,Casual message about watching something.,4,Correct category based on clear explanation.,Encourage casual updates.
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,ham,Casual conversation with playful tone.,4,Correct category based on clear explanation.,Highlight playful conversations.
Fine if that’s the way u feel. That’s the way its gota b,ham,Response indicating acceptance of a situation.,4,Correct category based on clear explanation.,Acknowledge acceptance in conversations.
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",spam,Spam message about sports updates.,4,Correct category based on clear explanation.,Identify sports update promotions.
Is that seriously how you spell his name?,ham,Casual inquiry about spelling.,4,Correct category based on clear explanation.,Encourage inquiries in casual texts.
I‘m going to try for 2 months ha ha only joking,ham,Light-hearted message with humor.,4,Correct category based on clear explanation.,Support humor in casual messages.
So ü pay first lar... Then when is da stock comin...,ham,Casual conversation about payment and stock.,4,Correct category based on clear explanation.,Clarify discussions about payments.
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,ham,Casual message about lunch plans.,4,Correct category based on clear explanation.,Encourage casual lunch discussions.
Ffffffffff. Alright no way I can meet up with you sooner?,ham,Casual message expressing desire to meet.,4,Correct category based on clear explanation.,Acknowledge meeting requests.
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,ham,Personal message about feeling unwell.,4,Correct category based on clear explanation.,Support discussions about health.
Lol your always so convincing.,ham,Complimentary message with humor.,4,Correct category based on clear explanation.,Encourage compliments in casual texts.
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,ham,Casual and playful inquiry.,4,Correct category based on clear explanation.,Highlight playful inquiries.
"I'm back & we're packing the car now, I'll let you know if there's room",ham,Update about travel plans.,4,Correct category based on clear explanation.,Encourage travel updates.
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ham,Humorous reflection on work.,4,Correct category based on clear explanation.,Support humor in work discussions.
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",ham,Casual conversation about clarity and sarcasm.,4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,ham,Personal update and casual chat.,4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
K tell me anything about you.,ham,Request for personal information in a friendly manner.,4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
For fear of fainting with the of all that housework you just did? Quick have a cuppa,ham,Light-hearted comment about housework.,4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,spam,"Subscription confirmation message, typical spam.",4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,ham,Planning and scheduling a lesson.,4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
"Oops, I'll let you know when my roommate's done",ham,Casual update about roommate.,4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
I see the letter B on my car,ham,"Casual observation, likely personal.",4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
Anything lor... U decide...,ham,"Casual conversation, leaving decision to the other.",4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,ham,Friendly check-in and invitation.,4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,ham,Friendly confirmation and well wishes.,4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",ham,"Romantic message, personal expression.",4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,spam,Spam message about a free mobile offer.,4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
WHO ARE YOU SEEING?,ham,Casual inquiry about someone's social life.,4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,ham,"Personal comment, likely joking.",4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
No calls..messages..missed calls,ham,Update about communication status.,4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
Didn't you get hep b immunisation in nigeria.,ham,Health-related inquiry.,4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
"Fair enough, anything going on?",ham,Casual inquiry about activities.,4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",ham,Planning and discussing options.,4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,ham,Personal reflection on stubbornness.,4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
What you thinked about me. First time you saw me in class.,ham,Inquiry about first impressions.,4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",ham,Discussion about drug quantities.,4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,ham,Informing about plans and arrangements.,4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry I offered. I'm sorry your room was so embarassing.",ham,Apologetic message about living conditions.,4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,spam,Sports-related spam message.,4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,spam,Clickbait spam message.,4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",spam,Spam message about a free cinema pass.,4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
"Sorry, I'll call later in meeting.",ham,Apology for being unavailable.,4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
Tell where you reached,ham,Request for location update.,4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
Yes..gauti and sehwag out of odi series.,ham,Update on sports news.,4,Correct category based on clear explanation.,Ensure clarity in explanations for better classification.
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,ham,Casual conversation about personal situation.,4,Correct category based on clear explanation.,Ensure clarity in personal context for better classification.
Ha ha ha good joke. Girls are situation seekers.,ham,Humorous comment on social behavior.,4,Correct category based on clear explanation.,Include humor context in classification criteria.
Its a part of checking IQ,ham,Discussion about intelligence testing.,4,Correct category based on clear explanation.,Clarify educational discussions in classification.
"Sorry my roommates took forever, it ok if I come by now?",ham,Apology and request to visit.,4,Correct category based on clear explanation.,Highlight social interactions in classification.
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ham,Update on a personal grooming appointment.,4,Correct category based on clear explanation.,Emphasize personal updates in classification.
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",spam,Typical spam message offering a prize.,4,Correct category based on clear explanation.,Identify common spam characteristics for better detection.
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",spam,Chain message asking for song dedication.,4,Correct category based on clear explanation.,Focus on chain message patterns in classification.
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",spam,Urgent spam message about a prize.,4,Correct category based on clear explanation.,Highlight urgency in spam messages for classification.
"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",ham,Light-hearted comment on a toy.,4,Correct category based on clear explanation.,Include cultural references in classification.
I plane to give on this month end.,ham,Personal plan for the month.,4,Correct category based on clear explanation.,Clarify personal planning in classification.
Wah lucky man... Then can save money... Hee...,ham,Casual conversation expressing happiness.,4,Correct category based on clear explanation.,Emphasize emotional expressions in classification.
Finished class where are you.,ham,Checking on someone's whereabouts.,4,Correct category based on clear explanation.,Highlight inquiries about location in classification.
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,ham,Casual invitation to hang out.,4,Correct category based on clear explanation.,Focus on social invitations in classification.
K..k:)where are you?how did you performed?,ham,Friendly inquiry about someone's performance.,4,Correct category based on clear explanation.,Include performance inquiries in classification.
U can call me now...,ham,Invitation to make a phone call.,4,Correct category based on clear explanation.,Highlight communication invitations in classification.
I am waiting machan. Call me once you free.,ham,Waiting for a friend to call.,4,Correct category based on clear explanation.,Emphasize waiting messages in classification.
Thats cool. i am a gentleman and will treat you with dignity and respect.,ham,Statement about respectful behavior.,4,Correct category based on clear explanation.,Include statements of respect in classification.
I like you peoples very much:) but am very shy pa.,ham,Expression of affection and shyness.,4,Correct category based on clear explanation.,Highlight expressions of affection in classification.
Does not operate after  &lt;#&gt;  or what,ham,Question about operational hours.,4,Correct category based on clear explanation.,Clarify operational inquiries in classification.
Its not the same here. Still looking for a job. How much do Ta's earn there.,ham,Discussion about job searching.,4,Correct category based on clear explanation.,Include job-related discussions in classification.
"Sorry, I'll call later",ham,Apology for not calling now.,4,Correct category based on clear explanation.,Highlight apologies in classification.
K. Did you call me just now ah?,ham,Inquiry about a recent call.,4,Correct category based on clear explanation.,Focus on recent communication inquiries in classification.
Ok i am on the way to home hi hi,ham,Informing someone about heading home.,4,Correct category based on clear explanation.,Emphasize travel updates in classification.
You will be in the place of that man,ham,Comment about someone's future position.,4,Correct category based on clear explanation.,Include future position discussions in classification.
Yup next stop.,ham,Confirmation of next destination.,4,Correct category based on clear explanation.,Highlight travel confirmations in classification.
"I call you later, don't have network. If urgnt, sms me.",ham,Informing about network issues.,4,Correct category based on clear explanation.,Clarify communication issues in classification.
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,ham,Casual conversation about event preparations.,4,Correct category based on clear explanation.,Include event preparation discussions in classification.
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,ham,Update on personal health and gaming.,4,Correct category based on clear explanation.,Highlight health and gaming updates in classification.
I'm really not up to it still tonight babe,ham,Expressing unavailability for plans.,4,Correct category based on clear explanation.,Emphasize unavailability messages in classification.
"Ela kano.,il download, come wen ur free..",ham,Casual invitation to meet.,4,Correct category based on clear explanation.,Highlight casual meeting invitations in classification.
Yeah do! Don‘t stand to close tho- you‘ll catch something!,ham,Casual conversation about health.,4,Correct category based on clear explanation.,Ensure clarity in casual conversations.
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,ham,Apologetic message about rescheduling.,4,Correct category based on clear explanation.,Clarify intentions in rescheduling messages.
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,ham,Positive motivational message.,4,Correct category based on clear explanation.,Encourage positivity in motivational messages.
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam,Classic spam message about winning a prize.,4,Correct category based on clear explanation.,Identify spam patterns in prize messages.
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,ham,Casual inquiry about plans.,4,Correct category based on clear explanation.,Maintain clarity in casual inquiries.
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",spam,Spam message about free ringtone.,4,Correct category based on clear explanation.,Recognize spam in ringtone offers.
Watching telugu movie..wat abt u?,ham,Casual conversation about activities.,4,Correct category based on clear explanation.,Encourage engagement in casual conversations.
i see. When we finish we have loads of loans to pay,ham,Discussion about financial obligations.,4,Correct category based on clear explanation.,Clarify financial discussions.
Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?,ham,Friendly message about plans.,4,Correct category based on clear explanation.,Ensure clarity in friendly messages.
I see a cup of coffee animation,ham,Casual comment about an animation.,4,Correct category based on clear explanation.,Encourage casual comments in conversations.
Please don't text me anymore. I have nothing else to say.,ham,Direct request to stop communication.,4,Correct category based on clear explanation.,Be clear in communication preferences.
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,ham,Negotiation about a purchase.,4,Correct category based on clear explanation.,Clarify negotiation terms.
I'm still looking for a car to buy. And have not gone 4the driving test yet.,ham,Personal update about car search.,4,Correct category based on clear explanation.,Encourage updates in personal matters.
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,spam,Spam about setting a callertune.,4,Correct category based on clear explanation.,Identify spam in callertune messages.
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",ham,Personal reflection on dating.,4,Correct category based on clear explanation.,Encourage personal reflections in conversations.
Umma my life and vava umma love you lot dear,ham,Affectionate message to family.,4,Correct category based on clear explanation.,Promote affectionate communication.
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,ham,Gratitude for birthday wishes.,4,Correct category based on clear explanation.,Encourage expressions of gratitude.
"Aight, I'll hit you up when I get some cash",ham,Casual message about future contact.,4,Correct category based on clear explanation.,Clarify future contact intentions.
How would my ip address test that considering my computer isn't a minecraft server,ham,Technical inquiry about IP address.,4,Correct category based on clear explanation.,Encourage clarity in technical inquiries.
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,ham,Light-hearted conversation about family.,4,Correct category based on clear explanation.,Promote light-hearted conversations.
Dont worry. I guess he's busy.,ham,Reassurance about someone's availability.,4,Correct category based on clear explanation.,Encourage reassurance in conversations.
What is the plural of the noun research?,ham,Academic inquiry about grammar.,4,Correct category based on clear explanation.,Clarify academic inquiries.
Going for dinner.msg you after.,ham,Informal message about dinner plans.,4,Correct category based on clear explanation.,Encourage clarity in informal messages.
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,ham,Discussion about preferences.,4,Correct category based on clear explanation.,Clarify preferences in discussions.
GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,spam,Spam message about winning a prize.,4,Correct category based on clear explanation.,Identify spam in prize notifications.
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",ham,Casual conversation about life.,4,Correct category based on clear explanation.,Encourage casual life conversations.
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",ham,Personal story about a birthday.,4,Correct category based on clear explanation.,Encourage sharing personal stories.
You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),spam,Spam message about winning a prize.,4,Correct category based on clear explanation.,Identify spam in winning notifications.
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,ham,Casual planning about food.,4,Correct category based on clear explanation.,Encourage clarity in food planning.
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,ham,Discussion about financial arrangements.,4,Correct category based on clear explanation.,Clarify financial arrangements in discussions.
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam,Promotes a financial offer with urgency.,4,Correct category based on clear explanation.,Ensure clarity in distinguishing between promotional and personal messages.
"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",spam,Claims a prize with urgency and a call to action.,4,Correct category based on clear explanation.,Focus on identifying urgency and prize claims in texts.
here is my new address -apples&pairs&all that malarky,ham,Casual personal communication.,4,Correct category based on clear explanation.,Differentiate personal updates from promotional content.
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,spam,Offers a monetary reward with a call to action.,4,Correct category based on clear explanation.,Identify monetary offers as spam.
I am going to sao mu today. Will be done only at 12,ham,Informal personal update.,4,Correct category based on clear explanation.,Recognize informal updates as personal communication.
Ü predict wat time ü'll finish buying?,ham,Casual inquiry about plans.,4,Correct category based on clear explanation.,Classify casual inquiries as personal messages.
"Good stuff, will do.",ham,Positive acknowledgment of a previous message.,4,Correct category based on clear explanation.,Acknowledge positive responses as personal.
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",ham,Personal message discussing a financial situation.,4,Correct category based on clear explanation.,Identify discussions of personal matters as ham.
Are you there in room.,ham,Simple inquiry about someone's presence.,4,Correct category based on clear explanation.,Classify presence inquiries as personal.
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,ham,Friendly greeting and invitation to reconnect.,4,Correct category based on clear explanation.,Recognize friendly greetings as personal communication.
K..k:)how much does it cost?,ham,Casual question about pricing.,4,Correct category based on clear explanation.,Identify casual pricing inquiries as personal.
I'm home.,ham,Simple personal update.,4,Correct category based on clear explanation.,Classify simple updates as personal.
"Dear, will call Tmorrow.pls accomodate.",ham,Polite message about future communication.,4,Correct category based on clear explanation.,Recognize polite requests as personal.
First answer my question.,ham,Direct request for information.,4,Correct category based on clear explanation.,Identify direct requests as personal communication.
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,spam,Promotes a quiz with a prize and a cost.,4,Correct category based on clear explanation.,Identify quiz promotions as spam.
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,spam,Explicit content promotion with a call to action.,4,Correct category based on clear explanation.,Classify explicit content as spam.
I only haf msn. It's yijue@hotmail.com,ham,Sharing contact information.,4,Correct category based on clear explanation.,Identify sharing of contact info as personal.
He is there. You call and meet him,ham,Informative message about someone's location.,4,Correct category based on clear explanation.,Classify informative messages as personal.
No no. I will check all rooms befor activities,ham,Planning and organizing activities.,4,Correct category based on clear explanation.,Recognize planning messages as personal.
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,spam,Promotes adult services with a call to action.,4,Correct category based on clear explanation.,Identify adult service promotions as spam.
Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,ham,Casual conversation about daily life.,4,Correct category based on clear explanation.,Classify casual conversations as personal.
"K, text me when you're on the way",ham,Request for communication upon arrival.,4,Correct category based on clear explanation.,Identify requests for communication as personal.
"Sir, Waiting for your mail.",ham,Polite follow-up on expected communication.,4,Correct category based on clear explanation.,Recognize follow-ups as personal communication.
"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",ham,Inspirational message sharing a thought.,4,Correct category based on clear explanation.,Identify inspirational messages as personal.
I know you are. Can you pls open the back?,ham,Request for assistance.,4,Correct category based on clear explanation.,Classify requests for assistance as personal.
Yes see ya not on the dot,ham,Casual confirmation of plans.,4,Correct category based on clear explanation.,Recognize confirmations as personal communication.
Whats the staff name who is taking class for us?,ham,Inquiry about class details.,4,Correct category based on clear explanation.,Identify inquiries about details as personal.
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",spam,Solicits response with a personal and sexual tone.,4,Correct category based on clear explanation.,Classify solicitations with sexual tones as spam.
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ham,Personal message about future plans.,4,Correct category based on clear explanation.,Identify messages about future plans as personal.
K..i deleted my contact that why?,ham,Casual explanation about contact deletion.,4,Correct category based on clear explanation.,Classify casual explanations as personal.
Sindu got job in birla soft ..,ham,Informal message about a job.,4,Correct category based on clear explanation.,Ensure clarity in job-related messages.
The wine is flowing and i'm i have nevering..,ham,Casual conversation about wine.,4,Correct category based on clear explanation.,Encourage clear context in casual conversations.
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,ham,Opinion on cinema preference.,4,Correct category based on clear explanation.,Clarify opinions for better classification.
Ok... Ur typical reply...,ham,Casual response to a message.,4,Correct category based on clear explanation.,Maintain clarity in casual responses.
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham,Notification about a callertune setting.,4,Correct category based on clear explanation.,Ensure notifications are clearly stated.
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",ham,Poetic expression about dirt.,4,Correct category based on clear explanation.,Encourage clarity in poetic expressions.
Aaooooright are you at work?,ham,Casual inquiry about work.,4,Correct category based on clear explanation.,Clarify inquiries for better understanding.
I'm leaving my house now...,ham,Simple message about leaving home.,4,Correct category based on clear explanation.,Keep messages straightforward.
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",ham,Affectionate message checking in.,4,Correct category based on clear explanation.,Encourage clarity in affectionate messages.
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,spam,Promotional message about delivery.,4,Correct category based on clear explanation.,Ensure promotional messages are clearly identified.
You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,spam,Classic spam about winning a prize.,4,Correct category based on clear explanation.,Highlight classic spam characteristics.
Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,ham,Personal message expressing care.,4,Correct category based on clear explanation.,Encourage clarity in personal messages.
New car and house for my parents.:)i have only new job in hand:),ham,Sharing personal achievements.,4,Correct category based on clear explanation.,Clarify personal achievements for better context.
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,ham,Romantic message expressing love.,4,Correct category based on clear explanation.,Encourage clarity in romantic expressions.
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,spam,Friend request spam message.,4,Correct category based on clear explanation.,Identify friend request spam clearly.
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",spam,Spam about an order delivery.,4,Correct category based on clear explanation.,Clarify order-related spam messages.
I place all ur points on e cultures module already.,ham,Informal message about school work.,4,Correct category based on clear explanation.,Encourage clarity in academic messages.
URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,spam,Urgent spam about winning a prize.,4,Correct category based on clear explanation.,Highlight urgency in spam messages.
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",ham,Seeking advice on relationships.,4,Correct category based on clear explanation.,Clarify relationship advice requests.
Great escape. I fancy the bridge but needs her lager. See you tomo,ham,Casual message about plans.,4,Correct category based on clear explanation.,Encourage clarity in casual plans.
Yes :)it completely in out of form:)clark also utter waste.,ham,Casual opinion about something.,4,Correct category based on clear explanation.,Clarify opinions for better classification.
"Sir, I need AXIS BANK account no and bank address.",spam,Request for sensitive information.,4,Correct category based on clear explanation.,Identify requests for sensitive information clearly.
